Issue Type,Summary,Description,Priority,Labels,Epic Link,Assignee,Status,Sprint,Created,Due Date,Resolved,Original Estimate,Time Spent
Test,KTPM-107 Tai khoan bi quan tri vien khoa,Steps: dang nhap locked_user. Expected: bao tai khoan da bi khoa boi quan tri vien.,Medium,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:25,20/08/2026 17:00,20/08/2026 11:10,1800,1200
Test,KTPM-110 So luong san pham trong khoang 1..10,Steps: them san pham voi so luong 0/1/10/11. Expected: 0 va 11 bi tu choi va gio khong doi. Ky thuat: gia tri bien.,Highest,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:30,20/08/2026 17:00,20/08/2026 11:40,3600,3600
Test,KTPM-111 Gio hang toi da 5 loai san pham,Steps: them lan luot 6 loai san pham. Expected: loai thu 6 bi tu choi. Ky thuat: gia tri bien.,High,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:35,20/08/2026 17:00,20/08/2026 13:30,1800,1800
Test,KTPM-112 Them san pham da co thi cong don so luong,Steps: them P01 x3 roi P01 x4. Expected: so luong = 7.,Medium,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:40,20/08/2026 17:00,20/08/2026 13:50,1800,1200
Test,KTPM-113 Xoa mot san pham va xoa toan bo gio,"Steps: xoa tung san pham va bam Xoa toan bo. Expected: gio cap nhat dung, hien thong bao gio trong.",Medium,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:45,20/08/2026 17:00,20/08/2026 14:10,1800,1800
Test,KTPM-114 Tam tinh bang tong gia nhan so luong,Steps: them P01 x2 va P05 x1. Expected: tam tinh = 420000.,High,test-case;smoke,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 10:50,20/08/2026 17:00,20/08/2026 14:30,1800,1200
Test,KTPM-120 Phu du 8 rule cua bang quyet dinh khuyen mai,Steps: chay 8 to hop VIP x nguong 500k x ma giam gia. Expected: 25/15/20/10/15/5/10/0 phan tram. Ky thuat: bang quyet dinh.,Highest,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:10,19/08/2026 17:00,19/08/2026 11:00,7200,7200
Test,KTPM-121 Nguong khuyen mai 500000 tinh la lon hon hoac bang,Steps: tam tinh 499999 / 500000. Expected: 0% / 5%. Ky thuat: gia tri bien.,High,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:20,19/08/2026 17:00,19/08/2026 11:20,1800,1800
Test,KTPM-122 Ma giam gia khong phan biet hoa thuong va tu cat khoang trang,"Steps: nhap SALE10 / sale10 / khoang trang SALE10 / SALE99. Expected: 3 dang dau hop le, SALE99 bi tu choi.",Medium,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 11:00,20/08/2026 17:00,20/08/2026 14:50,1800,1800
Test,KTPM-123 Tong thanh toan lam tron xuong,Steps: tam tinh 100001 giam 10%. Expected: thanh tien 90001.,Medium,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:30,19/08/2026 17:00,19/08/2026 11:40,1800,1800
Test,KTPM-130 Ho ten hop le 1 den 50 ky tu chi gom chu cai,Steps: nhap ho ten 0/1/50/51 ky tu va ho ten co chu so. Expected: bao loi dung truong ho ten. Ky thuat: phan hoach tuong duong + gia tri bien.,Highest,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 11:10,20/08/2026 17:00,20/08/2026 15:10,3600,3600
Test,KTPM-131 So dien thoai dung 10 chu so bat dau bang 0,Steps: nhap 9 so / 10 so / 11 so / khong bat dau bang 0. Expected: chi 10 so bat dau bang 0 duoc chap nhan.,Highest,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 11:15,20/08/2026 17:00,20/08/2026 15:30,1800,1800
Test,KTPM-132 Dia chi toi da 100 ky tu,Steps: nhap dia chi 100 va 101 ky tu. Expected: 101 ky tu bi tu choi. Ky thuat: gia tri bien.,High,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 11:20,20/08/2026 17:00,20/08/2026 15:45,1800,1800
Test,KTPM-133 Khong cho thanh toan khi gio hang rong,Steps: vao trang thanh toan voi gio rong va bam Dat hang. Expected: bao gio hang dang trong.,High,test-case;regression,EPIC-2,B,Done,KTPM Sprint 1,18/08/2026 11:25,20/08/2026 17:00,20/08/2026 15:55,1800,1200
Test,KTPM-134 Dat hang thanh cong sinh ma don va xoa gio,"Steps: dien thong tin hop le va bam Dat hang. Expected: hien man hinh thanh cong, ma don MSxxxx, gio hang ve 0.",Highest,test-case;smoke,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 11:30,20/08/2026 17:00,20/08/2026 16:00,3600,3600
Test,KTPM-140 Dang xuat quay ve trang dang nhap,Steps: dang nhap roi bam Dang xuat. Expected: ve trang dang nhap.,Low,test-case;smoke,EPIC-2,A,Done,KTPM Sprint 1,18/08/2026 11:35,20/08/2026 17:00,20/08/2026 16:00,1800,1200
Test,KTPM-150 Calculator bon phep tinh va chia cho 0,Steps: kiem tra add/sub/mul/div va truong hop chia cho 0. Expected: gia tri dung (equals) va gia tri sai bi loai (notEquals); chia 0 nem ArithmeticException.,High,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:40,19/08/2026 17:00,19/08/2026 14:00,3600,3600
Test,KTPM-151 Rational chuan hoa va bon phep toan,"Steps: kiem tra rut gon, dau am, mau so 0, add/subtract/multiply/divide, equals, compareTo, toString. Expected: dung dac ta. Ky thuat: phu lenh va phu nhanh, V(G)=2.",High,test-case;regression,EPIC-1,A,Done,KTPM Sprint 1,18/08/2026 09:50,19/08/2026 17:00,19/08/2026 15:30,7200,9000
Test,KTPM-160 Doi chung Selenium va Playwright tren 3 kich ban,Steps: chay 3 test case tuong duong bang ca hai cong cu. Expected: cung ket qua; ghi nhan so dong code va thoi gian chay.,Medium,test-case;comparison,EPIC-3,B,Done,KTPM Sprint 1,18/08/2026 14:00,21/08/2026 12:00,21/08/2026 11:00,7200,7200
Test,KTPM-170 Kiem thu tren Android Emulator,Steps: chay 2 test case dang nhap - them gio tren Chrome cua Emulator. Expected: pass.,Low,test-case;mobile,EPIC-4,B,In Progress,KTPM Sprint 1,18/08/2026 14:10,22/08/2026 12:00,,7200,3600
Task,KTPM-180 Cau hinh Jenkins pipeline chay day du test va publish Allure,"Tao pipeline job doc ci/Jenkinsfile, cai Allure Jenkins Plugin, bat Poll SCM.",High,ci,EPIC-5,A,Done,KTPM Sprint 1,18/08/2026 15:00,21/08/2026 17:00,21/08/2026 16:00,10800,10800
Task,KTPM-181 Cau hinh GitHub Actions lam cong kiem tra Pull Request,"Chay unit test va suite smoke cho moi PR, bat branch protection.",High,ci,EPIC-5,B,Done,KTPM Sprint 1,18/08/2026 15:10,21/08/2026 17:00,21/08/2026 14:00,3600,3600
Task,KTPM-182 Cau hinh Allure gop ket qua ca 3 tang va link nguoc ve Jira,Them allure.properties voi allure.link.issue.pattern.,Medium,report,EPIC-5,B,Done,KTPM Sprint 1,18/08/2026 15:20,21/08/2026 17:00,21/08/2026 17:00,3600,5400
Bug,KTPM-190 Suite UI that bai hang loat khi chay song song 3 luong,"Mo ta: chay testng.xml voi parallel=methods thread-count=3 gay TimeoutException khi khoi tao ChromeDriver (8/49 test that bai). Nguyen nhan: moi test case mo mot trinh duyet rieng, may khong du tai nguyen. Cach sua: chuyen sang parallel=classes thread-count=2. Ket qua sau sua: 36/36 pass trong 48 giay.",High,defect,EPIC-2,A,Done,KTPM Sprint 1,20/08/2026 11:20,20/08/2026 18:00,20/08/2026 13:05,3600,5400
Bug,KTPM-191 Gop project lam engine JUnit 5 chet am tham,"Mo ta: sau khi gop 7 module thanh 1 module, mvn test chi chay 37 test (36 TestNG) va bao NoClassDefFoundError NamespacedHierarchicalStore; toan bo unit test JUnit 5 bi bo qua nhung build van SUCCESS. Nguyen nhan: testng-engine keo junit-platform-engine 1.7.2 va allure-junit5 keo launcher 1.9.2 trong khi junit-jupiter 5.11.4 can platform 1.11.4. Cach sua: import junit-bom trong dependencyManagement. Ket qua: nhan du 80 test.",Highest,defect,EPIC-5,A,Done,KTPM Sprint 1,19/08/2026 21:50,19/08/2026 23:00,19/08/2026 22:15,1800,2700
