"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","TC-UNIT-016 divide() - phu cac duong di doc lap cua luu do TC-UNIT-016.2: 1/2 : -1/3 = -3/2","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","divide"
"","1","TC-UNIT-035 [KHOA_TAM -> CHUA_DANG_NHAP] Du 15 phut -> tu dong mo khoa, reset bo dem","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","autoUnlockAfterLockPeriod"
"","1","TC-UNIT-033 [KHOA_TAM] Dang bi khoa, nhap DUNG mat khau van bi tu choi","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","correctPasswordWhileLocked"
"","1","TC-UNIT-041 [BIEN KHONG HOP LE] So luong ngoai [1..10] bi tu choi, gio khong doi TC-UNIT-041.2: so luong khong hop le = 11","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","invalidQuantities"
"","2","TC-UNIT-031 [CHUA_DANG_NHAP -> CHUA_DANG_NHAP] Sai duoi 3 lan, van cho nhap lai TC-UNIT-031.1: sai lan 1 -> con 2 luot","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","wrongPasswordUnderThreshold"
"","1","TC-UNIT-065 [LOP HOP LE] So dien thoai dung 10 so, bat dau bang 0 TC-UNIT-065.1: SDT [0912345678] hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","phoneValid"
"","0","TC-UNIT-002 add() KHONG tra ve gia tri sai (notEquals)","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","add_notEqualsWrongValue"
"","1","TC-UNIT-067 [BIEN] Dia chi toi da 100 ky tu TC-UNIT-067.1: dia chi dai 100 ky tu","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","addressLengthBoundary"
"","1","TC-UNIT-003 div() tra ve thuong hai so","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","div_returnsQuotient"
"","3","TC-UNIT-055 finalAmount() tru dung so tien va lam tron XUONG TC-UNIT-055.1: vip=false, subtotal=600000, coupon=null -> thanh tien 570000","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","finalAmountCalculation"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 3: vip=true, subtotal=100000, coupon=SALE10 -> 20%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","1","TC-UNIT-067 [BIEN] Dia chi toi da 100 ky tu TC-UNIT-067.2: dia chi dai 101 ky tu","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","addressLengthBoundary"
"","3","TC-UNIT-051 [BIEN] Nguong 500.000 duoc tinh la >= (khach thuong, khong ma) TC-UNIT-051.1: tam tinh 499999 -> 0%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","thresholdBoundary"
"","1","TC-UNIT-001 add() tra ve tong hai so TC-UNIT-001.2: -2 + 3 = 1","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CalculatorTest","vn.edu.ktpm.minishop.unit.CalculatorTest","add_returnsSum"
"","1","TC-UNIT-040 [BIEN HOP LE] So luong trong [1..10] duoc chap nhan TC-UNIT-040.1: so luong hop le = 1","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","validQuantities"
"","1","TC-UNIT-040 [BIEN HOP LE] So luong trong [1..10] duoc chap nhan TC-UNIT-040.2: so luong hop le = 10","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","validQuantities"
"","2","TC-UNIT-022 toString() rut gon, bo mau so 1 TC-UNIT-022.2: toString cua 4/2 = 2","","2026-08-22","passed","2026-08-22","","So sanh va hien thi","vn.edu.ktpm.minishop.unit.RationalTest$Comparison","toStringFormat"
"","1","TC-UNIT-031 [CHUA_DANG_NHAP -> CHUA_DANG_NHAP] Sai duoi 3 lan, van cho nhap lai TC-UNIT-031.2: sai lan 2 -> con 1 luot","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","wrongPasswordUnderThreshold"
"","1","TC-UNIT-063 [LOP TUONG DUONG KHONG HOP LE] Ho ten rong hoac chua ky tu la TC-UNIT-063.1: ho ten [] -> khong hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","nameInvalidCharacters"
"","10","TC-UNIT-047 subtotal() = tong (gia x so luong)","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","subtotalCalculation"
"","1","TC-UNIT-055 finalAmount() tru dung so tien va lam tron XUONG TC-UNIT-055.2: vip=true, subtotal=600000, coupon=SALE10 -> thanh tien 450000","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","finalAmountCalculation"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 6: vip=false, subtotal=600000, coupon=null -> 5%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","5","TC-UNIT-077 Thong tin sai -> nem CartException, gio hang KHONG bi xoa","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutServiceTest","vn.edu.ktpm.minishop.unit.CheckoutServiceTest","placeOrderInvalidInfoKeepsCart"
"","1","TC-UNIT-066 [BIEN + LOP KHONG HOP LE] So dien thoai sai dinh dang TC-UNIT-066.1: SDT [091234567] khong hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","phoneInvalid"
"","2","TC-UNIT-052 Ma giam gia: khong phan biet hoa thuong, tu cat khoang trang TC-UNIT-052.3: ma [SALE11] -> hop le = false","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","couponNormalization"
"","1","TC-UNIT-046 [BIEN] Loai san pham thu 6 -> tu choi","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CartTest","vn.edu.ktpm.minishop.unit.CartTest","sixthDistinctProductRejected"
"","4","TC-UNIT-014 subtract() TC-UNIT-014.1: 1/2 - 1/3 = 1/6","","2026-08-22","passed","2026-08-22","","Bon phep toan","vn.edu.ktpm.minishop.unit.RationalTest$Arithmetic","subtract"
"","2","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 4: vip=true, subtotal=100000, coupon=null -> 10%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","1","TC-UNIT-037 Tai khoan khong ton tai -> INVALID_CREDENTIAL, khong lo thong tin","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","unknownUser"
"","2","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 1: vip=true, subtotal=600000, coupon=SALE10 -> 25%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","9","TC-UNIT-075 Dat hang thanh cong -> tra ve ma don va xoa sach gio","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutServiceTest","vn.edu.ktpm.minishop.unit.CheckoutServiceTest","placeOrderSuccess"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 2: vip=true, subtotal=600000, coupon=null -> 15%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","1","TC-UNIT-030 [CHUA_DANG_NHAP -> DA_DANG_NHAP] Dang nhap dung","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.LoginServiceTest","vn.edu.ktpm.minishop.unit.LoginServiceTest","loginSuccess"
"","1","TC-UNIT-062 [BIEN KHONG HOP LE] Ho ten dai hon 50 ky tu TC-UNIT-062.1: ho ten dai 51 ky tu -> khong hop le","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","vn.edu.ktpm.minishop.unit.CheckoutValidatorTest","nameTooLong"
"","1","TC-UNIT-018 equals() dung cho hai phan so cung gia tri khac cach viet","","2026-08-22","passed","2026-08-22","","So sanh va hien thi","vn.edu.ktpm.minishop.unit.RationalTest$Comparison","equalsSameValue"
"","1","TC-UNIT-050 Phu du 8 rule cua bang quyet dinh TC-UNIT-050 Rule 7: vip=false, subtotal=100000, coupon=SALE10 -> 10%","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","decisionTable"
"","3","TC-UNIT-052 Ma giam gia: khong phan biet hoa thuong, tu cat khoang trang TC-UNIT-052.1: ma [sale10] -> hop le = true","","2026-08-22","passed","2026-08-22","","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","vn.edu.ktpm.minishop.unit.DiscountPolicyTest","couponNormalization"
